,county,Population
2658,Kimble,4401
2659,King,215
2660,Kinney,3191
2661,Kleberg,30442
2662,Knox,3255
2663,Lamar,51249
2664,Lamb,12687
2665,Lampasas,23539
2666,La Salle,6679
2667,Lavaca,20605
2668,Lee,18451
2669,Leon,16698
2670,Liberty,115042
2671,Limestone,22569
2672,Lipscomb,2880
2673,Live Oak,11967
2674,Llano,23163
2675,Loving,48
2676,Lubbock,327394
2677,Lynn,5952
2678,McCulloch,7448
2679,McLennan,270358
2680,McMullen,565
2681,Madison,13877
2682,Marion,9704
2683,Martin,5179
2684,Mason,3987
2685,Matagorda,36391
2686,Maverick,58829
2687,Medina,55619
2688,Menard,1911
2689,Midland,183587
2690,Milam,26159
2691,Mills,4563
2692,Mitchell,8968
2693,Montague,21890
2694,Montgomery,749613
2695,Moore,21872
2696,Morris,12184
2697,Motley,1015
2698,Nacogdoches,65728
2699,Navarro,56533
2700,Newton,11908
2701,Nolan,14182
2702,Nueces,353125
2703,Ochiltree,9717
2704,Oldham,1823
2705,Orange,86115
2706,Palo Pinto,30231
2707,Panola,23022
2708,Parker,179707
2709,Parmer,9669
2710,Pecos,14712
2711,Polk,54258
2712,Potter,114649
2713,Presidio,5686
2714,Rains,13306
2715,Randall,150547
2716,Reagan,3139
2717,Real,2772
2718,Red River,11696
2719,Reeves,11956
2720,Refugio,6739
2721,Roberts,837
2722,Robertson,17659
2723,Rockwall,137044
2724,Runnels,9751
2725,Rusk,53391
2726,Sabine,10058
2727,San Augustine,7767
2728,San Jacinto,29326
2729,San Patricio,71467
2730,San Saba,5508
2731,Schleicher,2302
2732,Scurry,16211
2733,Shackelford,3169
2734,Shelby,24192
2735,Sherman,2771
2736,Smith,249091
2737,Somervell,10098
2738,Starr,66587
2739,Stephens,9475
2740,Sterling,1387
2741,Stonewall,1235
2742,Sutton,3269
2743,Swisher,6877
2744,Tarrant,2230708
2745,Taylor,148813
2746,Terrell,718
2747,Terry,11602
2748,Throckmorton,1532
2749,Titus,31547
2750,Tom Green,120103
2751,Travis,1363767
2752,Trinity,14489
2753,Tyler,20560
2754,Upshur,44050
2755,Upton,3128
2756,Uvalde,25138
2757,Val Verde,47999
2758,Van Zandt,65304
2759,Victoria,91949
2760,Walker,83722
2761,Waller,65109
2762,Ward,11038
2763,Washington,37810
2764,Webb,272823
2765,Wharton,42035
2766,Wheeler,4824
2767,Wichita,129984
2768,Wilbarger,12455
2769,Willacy,20027
2770,Williamson,727480
2771,Wilson,55415
2772,Winkler,7381
2773,Wise,81275
2774,Wood,48742
2775,Yoakum,7581
2776,Young,18236
2777,Zapata,13819
2778,Zavala,9209
2779,Beaver,7424
2780,Box Elder,64120
2781,Cache,145487
2782,Carbon,20613
2783,Daggett,956
2784,Davis,378470
2785,Duchesne,20803
2786,Emery,10161
2787,Garfield,5290
2788,Grand,9788
2789,Iron,65936
2790,Juab,13297
2791,Kane,8525
2792,Millard,13572
2793,Morgan,13093
2794,Piute,1534
2795,Rich,2752
2796,Salt Lake,1216274
2797,San Juan,14601
2798,Sanpete,30732
2799,Sevier,22520
2800,Summit,43109
2801,Tooele,84488
2802,Uintah,38307
2803,Utah,747234
2804,Wasatch,37858
2805,Washington,207943
2806,Wayne,2608
2807,Weber,276118
2808,Addison,38047
2809,Bennington,37039
2810,Caledonia,30535
2811,Chittenden,170851
2812,Essex,6037
2813,Franklin,51066
2814,Grand Isle,7528
2815,Lamoille,26248
2816,Orange,30050
2817,Orleans,27726
2818,Rutland,60198
2819,Washington,59844
2820,Windham,45627
2821,Windsor,57697
2822,Accomack,33411
2823,Albemarle,117313
2824,Alleghany,14632
2825,Amelia,13716
2826,Amherst,31650
2827,Appomattox,16957
2828,Arlington,239807
2829,Augusta,78622
2830,Bath,4071
2831,Bedford,82182
2832,Bland,6186
2833,Botetourt,34129
2834,Brunswick,15750
2835,Buchanan,18632
2836,Buckingham,17115
2837,Campbell,55342
2838,Caroline,33477
2839,Carroll,29242
2840,Charles City,6564
2841,Charlotte,11258
2842,Chesterfield,389793
2843,Clarke,15598
2844,Craig,4829
2845,Culpeper,56125
2846,Cumberland,10062
2847,Dickenson,13411
2848,Dinwiddie,28576
2849,Essex,10683
2850,Fairfax,1160925
2851,Fauquier,75865
2852,Floyd,15658
2853,Fluvanna,28746
2854,Franklin,55637
2855,Frederick,98109
2856,Giles,16533
2857,Gloucester,40154
2858,Goochland,28223
2859,Grayson,15265
2860,Greene,21744
2861,Greensville,11150
2862,Halifax,33448
2863,Hanover,115309
2864,Henrico,338696
2865,Henry,49385
2866,Highland,2348
2867,Isle of Wight,40942
2868,James City,82797
2869,King and Queen,6747
2870,King George,28816
2871,King William,19232
2872,Lancaster,11062
2873,Lee,21780
2874,Loudoun,443380
2875,Louisa,42109
2876,Lunenburg,12060
2877,Madison,14252
2878,Mathews,8602
2879,Mecklenburg,30824
2880,Middlesex,10949
2881,Montgomery,98998
2882,Nelson,14766
2883,New Kent,27218
2884,Northampton,12004
2885,Northumberland,12397
2886,Nottoway,15632
2887,Orange,38986
2888,Page,23686
2889,Patrick,17308
2890,Pittsylvania,59410
2891,Powhatan,32392
2892,Prince Edward,22276
2893,Prince George,43589
2894,Prince William,497003
2895,Pulaski,33579
2896,Rappahannock,7479
2897,Richmond,9215
2898,Roanoke,97334
2899,Rockbridge,22368
2900,Rockingham,87674
2901,Russell,25420
2902,Scott,21388
2903,Shenandoah,45441
2904,Smyth,29137
2905,Southampton,17941
2906,Spotsylvania,152021
2907,Stafford,168919
2908,Surry,6579
2909,Sussex,10753
2910,Tazewell,38875
2911,Warren,42461
2912,Washington,54098
2913,Westmoreland,19235
2914,Wise,34973
2915,Wythe,28100
2916,York,71410
2917,,159102
2918,,16316
2919,,6581
2920,,44767
2921,,254997
2922,,18674
2923,,5663
2924,,41993
2925,,5402
2926,,26340
2927,,15034
2928,,8373
2929,,29992
2930,,6739
2931,,137596
2932,,51164
2933,,22970
2934,,7802
2935,,80301
2936,,43616
2937,,16611
2938,,13834
2939,,183056
2940,,231105
2941,,3478
2942,,34058
2943,,12854
2944,,96482
2945,,17273
2946,,233655
2947,,97912
2948,,25908
2949,,26361
2950,,103105
2951,,454808
2952,,23498
2953,,16030
2954,,27800
2955,Adams,21039
2956,Asotin,22523
2957,Benton,218190
2958,Chelan,81228
2959,Clallam,77958
2960,Clark,527269
2961,Columbia,4025
2962,Cowlitz,113982
2963,Douglas,45795
2964,Ferry,7543
2965,Franklin,101238
2966,Garfield,2404
2967,Grant,104717
2968,Grays Harbor,77893
2969,Island,86478
2970,Jefferson,33944
2971,King,2340211
2972,Kitsap,281420
2973,Kittitas,48172
2974,Klickitat,24124
2975,Lewis,87049
2976,Lincoln,11862
2977,Mason,69632
2978,Okanogan,44942
2979,Pacific,24245
2980,Pend Oreille,14332
2981,Pierce,941170
2982,San Juan,18668
2983,Skagit,132736
2984,Skamania,12660
2985,Snohomish,864113
2986,Spokane,555947
2987,Stevens,49015
2988,Thurston,302912
2989,Wahkiakum,4800
2990,Walla Walla,62068
2991,Whatcom,234954
2992,Whitman,48399
2993,Yakima,258523
2994,Barbour,15369
2995,Berkeley,136287
2996,Boone,20496
2997,Braxton,12051
2998,Brooke,21285
2999,Cabell,91489
3000,Calhoun,5873
3001,Clay,7689
3002,Doddridge,7615
3003,Fayette,38600
3004,Gilmer,7116
3005,Grant,10971
3006,Greenbrier,31851
3007,Hampshire,23793
3008,Hancock,28054
3009,Hardy,14335
3010,Harrison,64472
3011,Jackson,27718
3012,Jefferson,61264
3013,Kanawha,173906
3014,Lewis,16477
3015,Lincoln,19377
3016,Logan,30560
3017,McDowell,17147
3018,Marion,55649
3019,Marshall,29354
3020,Mason,24770
3021,Mercer,57524
3022,Mineral,26778
3023,Mingo,21712
3024,Monongalia,108697
3025,Monroe,12462
3026,Morgan,17780
3027,Nicholas,24017
3028,Ohio,41090
3029,Pendleton,5944
3030,Pleasants,7358
3031,Pocahontas,7653
3032,Preston,34055
3033,Putnam,57067
3034,Raleigh,72379
3035,Randolph,27190
3036,Ritchie,8170
3037,Roane,13540
3038,Summers,11544
3039,Taylor,16438
3040,Tucker,6573
3041,Tyler,7843
3042,Upshur,23650
3043,Wayne,37589
3044,Webster,7947
3045,Wetzel,13766
3046,Wirt,4924
3047,Wood,82757
3048,Wyoming,19964
3049,Adams,21352
3050,Ashland,16196
3051,Barron,46810
3052,Bayfield,16838
3053,Brown,273909
3054,Buffalo,13464
3055,Burnett,17187
3056,Calumet,53602
3057,Chippewa,67323
3058,Clark,34801
3059,Columbia,58113
3060,Crawford,16008
3061,Dane,588347
3062,Dodge,88635
3063,Door,30512
3064,Douglas,44276
3065,Dunn,46135
3066,Eau Claire,108830
3067,Florence,4673
3068,Fond du Lac,104269
3069,Forest,9506
3070,Grant,52330
3071,Green,37183
3072,Green Lake,19370
3073,Iowa,23963
3074,Iron,6235
3075,Jackson,21027
3076,Jefferson,86245
3077,Juneau,26590
3078,Kenosha,168754
3079,Kewaunee,20751
3080,La Crosse,121060
3081,Lafayette,17306
3082,Langlade,19535
3083,Lincoln,28461
3084,Manitowoc,81513
3085,Marathon,139091
3086,Marinette,42343
3087,Marquette,15743
3088,Menominee,4286
3089,Milwaukee,924740
3090,Monroe,46370
3091,Oconto,40037
3092,Oneida,38175
3093,Outagamie,195390
3094,Ozaukee,93956
3095,Pepin,7555
3096,Pierce,43380
3097,Polk,45831
3098,Portage,72040
3099,Price,14087
3100,Racine,198651
3101,Richland,17123
3102,Rock,165461
3103,Rusk,14168
3104,St. Croix,97954
3105,Sauk,66486
3106,Sawyer,18835
3107,Shawano,41299
3108,Sheboygan,118331
3109,Taylor,20167
3110,Trempealeau,30801
3111,Vernon,31351
3112,Vilas,23948
3113,Walworth,106029
3114,Washburn,16982
3115,Washington,138727
3116,Waukesha,417029
3117,Waupaca,51171
3118,Waushara,25079
3119,Winnebago,173307
3120,Wood,73943
3121,Albany,39288
3122,Big Horn,12084
3123,Campbell,47946
3124,Carbon,14250
3125,Converse,13766
3126,Crook,7775
3127,Fremont,39721
3128,Goshen,12635
3129,Hot Springs,4625
3130,Johnson,8803
3131,Laramie,101783
3132,Lincoln,21000
3133,Natrona,80410
3134,Niobrara,2301
3135,Park,31082
3136,Platte,8512
3137,Sheridan,32978
3138,Sublette,8965
3139,Sweetwater,41273
3140,Teton,23272
3141,Uinta,20621
3142,Washakie,7662
3143,Weston,6866
